Sr #,Registration #,Unit Name,Date of Registration,Address of Establishment,Tehsil,District,Directorate,Contact #,Date of Start of Business,Name of Employer,Nature of Business,No. of Permanent Employees,No. of Temporary Employees,No. of Contractual Employees ,Total No. of Employees,Amount of wages paid to employees (Dec 2017),Amount of contribution paid (Dec 2017),F4 No. ,Amount of C4,F5 No.,F5 Amount,Where C4 Amount is Excess,Where C4 Amount is Less,Amount Increase Receivable ,Increase Amount Received,Accum. Balance of arrears,Functional/ Non- Functional ,Cases u/s 57,Cases u/s 59,Cases U/S 66,Cases U/S 81,Civil / High Court
41882,5-23-1329,M/s. Ahmad Brothers Cotton ,01.12.1986,Burewala,Burewala,Vehari,Multan,0,01.12.1986,Haji Ahmed,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,High Court
41883,5-20-1331,M/s. Pak Punjab Oil Mills Burewala ,01.12.1986,Burewala,Burewala,Vehari,Multan,,01.12.1986,,Food Mfg. Industries Except Beverage Industries ,1,,,1,,,,900,,,,,,,55960,Non-Functional,,,,,
41884,5-20-1332,M/s. Duaba Oil Mills,01.12.1986,Burewala,Burewala,Vehari,Multan,,01.12.1986,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41885,5-23-1330,M/s. Haji Ahmad Majeed Cotton Burewala,01.12.1986,Burewala,Burewala,Vehari,Multan,,01.12.1986,,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41886,5-23-1333,M/s. Al-Maroof Cotton Factory Boriwala ,01.12.1986,Burewala,Burewala,Vehari,Multan,,01.12.1986,,Manufacture of Textile ,2,,,2,,,,1800,,,,,,,109140,Functional ,,,,,
41887,5-83-1334,M/s. Rex Cenema Boriwala ,01.12.1986,Burewala,Burewala,Vehari,Multan,,01.12.1986,,Recreation Services,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41888,5-23-1500,M/s. Zaheer Ginnning ,01.07.1988,531/wb Multan Road Burewala,Burewala,Vehari,Multan,,01.07.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,74581,Non-Functional,,,,,
41889,5-23-1615,M/s. Gaggo Cotton Factory ,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,067-3500566-68,01.08.1988,Main Ahad,Manufacture of Textile ,3,5,0,8,123000,7380,17851,,,,,,,,6579,Functional ,,,,,
41890,5-20-1616,M/s. Ghulam Oil Mills,01.08.1988,Arif wala Road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41891,5-20-1617,M/s. Al-Hamd Oil Mills ,01.08.1988,Vahari road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,2,0,0,2,32217,1933,18466,0,37592,10647,,,1800,1647,27136,Functional ,,,,,
41892,5-23-1618,M/s. Faridia Cotton Factory ,01.08.1988,ChakNo215 EB Gagu Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,151308,Non-Functional,,,,,
41893,5-20-1619,M/s. Ashraf Brothers Oil Mills,01.08.1988, Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41894,5-20-1620,M/s. Ali Oil Mills/Asif Traders ,24.09.1988, Gaggo Mandi Burewala,Burewala,Vehari,Multan,,24.09.1988,Asif Ali,Food Mfg. Industries Except Beverage Industries ,1,,,1,16000,960,17292,,,,,,,,53109,Functional ,,,,,
41895,23-1621,M/s. Noor Ginning & Pressing,01.08.1988,Sh.Fazal Road Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41896,23-1622,M/s. Zamindar Cotton Ginning & Pressing,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41897,23-1623,M/s. Taj Cotton/Younis Brothers.,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,3,,,3,,,,2700,,,,,,,69952,Functional ,,,,,
41898,23-1624,M/s. Sarwar Brothers Cotton Factory ,01.08.1988,Mana More Gaggo  Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,15200,Non-Functional,,,,,
41899,20-1625,M/s. Al-Noor Oil Mills,01.08.1988,Gaggo Chishtia Road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,5041,Non-Functional,,,,,
41900,23-1626,M/s. Bismillah Cotton Ginning Pressing ,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,Ch.Shafiq(Cont),Manufacture of Textile ,,,,,,,,,,,,,,,176876,Non-Functional,,,,,
41901,23-1627,M/s. Mashallah Cotton Ginning Factory,01.08.1988,Sh.Fazal Road Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,13092,Non-Functional,,,,,
41902,20-1628,M/s. Zahoor Oil Mills ,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,6330,Non-Functional,,,,,
41903,20-1629,M/s. New Chaudhary Oil Mills/Usman Shahbaz ,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,Usman,Food Mfg. Industries Except Beverage Industries ,3,0,0,3,46250,2775,17126,,37357,10005,,,,805,141275,Functional ,,,,,
41904,23-1629-A,M/s. Usman Shahbaz Cotton Ginning/Malang ,01.08.1988,Multan road Burewala,Burewala,Vehari,Multan,,01.08.1988,Ch.Ashiq,Manufacture of Textile ,2,10,0,12,,,,13500,,,,,,,154345,Functional ,,,,,
41905,23-1630,M/s. Doaba Cotton Factory ,01.08.1988,Multan road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,1040,Non-Functional,,,,,
41906,23-1631,M/s. Snako Cotton Ginning ,01.08.1988,515/EB Kamand Road Burewala,Burewala,Vehari,Multan,3006997551,01.08.1988,Khalid Ghumman,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,321872,Functional ,,,,,
41907,36-1632,M/s. Manchester Engineering Industries ,01.08.1988,Multan road Burewala,Burewala,Vehari,Multan,,01.08.1988,,"Manufacture of Machinery, except electrical machinery ",,,,,,,,,,,,,,,423,Non-Functional,,,,,
41908,20-1633,M/s. Rana Oil Mills ,01.08.1988,Jamlara Road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,4460,Non-Functional,,,,,
41909,20-1634,M/s. United Oil Mills ,01.08.1988,Vahari road Burewala,Burewala,Vehari,Multan,,01.08.1988,Gh.Dastagheer,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,15000,900,18139,,,,,,,,25468,Functional ,,,,,
41910,23-1635,M/s. Moon Cotton Industries ,01.08.1988,Ludan Road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,1,0,0,1,,,,900,,,,,,,51063,Non-Functional,,,,,
41911,23-1636,M/s. Pak Milat Cotton Ginning ,01.08.1988,Ludan Road Burewala,Burewala,Vehari,Multan,067-3352265,01.08.1988,Main Javed Tariq,Manufacture of Textile ,3,7,0,10,,,,9000,,,,,,,25152,Functional ,,,,,
41912,23-1637,M/s. Rajpoot Cotton Factory ,01.08.1988,Gaggo Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,21740,Non-Functional,,,,,
41913,20-1638,Mian oil Mills,01.08.1988,Arif wala Road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41914,23-1721,M/s. New National Cotton ,01.08.1989,Ludan Road Burewala,Burewala,Vehari,Multan,,01.08.1989,M.Tufail Bhatti,Manufacture of Textile ,3,17,0,20,,,,20000,,,,,,,365043,Functional ,,,,,
41915,23-1722,M/s. Zeeshan Cotton Factory ,01.08.1989,Ludan Road Burewala,Burewala,Vehari,Multan,,01.08.1989,,Manufacture of Textile ,,,,,,,,,,,,,,,280,Non-Functional,,,,,
41916,23-1723,M/s. Al-Ameen Cotton Factory ,01.08.1988,269/EB mana more Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,3,0,0,3,,,,2700,,,,,,,68237,Functional ,,,,,
41917,23-1724,M/s. Shami Cotton Factory ,01.08.1988,Chichawatni road Burewala,Burewala,Vehari,Multan,,01.08.1988,,Manufacture of Textile ,,,,,,,,,,,,,,,74815,Non-Functional,,,,,
41918,20-1760,Itefaq Oil Mills,19.08.1990,Lari Adda Burewala,Burewala,Vehari,Multan,,19.08.1990,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41919,20-1761,M/s. Nadeem Oil Mills ,1.11.1989,Masoom Shah Road Burewala,Burewala,Vehari,Multan,,1.11.1989,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,1260,Non-Functional,,,,,
41920,20-1762,M/s. Babar Oil Mills ,1.11.1989,Masoom Shah Road Burewala,Burewala,Vehari,Multan,,1.11.1989,,Food Mfg. Industries Except Beverage Industries ,1,0,0,1,,,,900,,,,,,,61263,Non-Functional,,,,,
41921,20-1763,Ghani Oil Mills,1.11.1989,Burewala,Burewala,Vehari,Multan,,1.11.1989,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,0,Non-Functional,,,,,
41922,20-1764,M/s. Niaz Mushtaq & Co Oil Mills ,1.11.1989,Burewala,Burewala,Vehari,Multan,,1.11.1989,,Food Mfg. Industries Except Beverage Industries ,,,,,,,,,,,,,,,4008,Non-Functional,,,,,
