DistrictName,TehsilName,UCName,VisitDate,RefCode,SchoolName,SchoolMauza,SchoolAddress,PhoneNumber,TotalAreaKanal,TotalAreaMarla,GPS_North,GPS_East,EstablishmentYear,SchoolLocation,SchoolLevel,SchoolGender,RegistrationStatus,RegistrationNo,BISEAffiliated,BISEName,SchoolCategory,School Category,MediumOfInstruction,NoOfClassRooms,Fac_DrinkingWater,Fac_BoundaryWall,Fac_Electricity,Fac_Toilet,Fac_StaffRoom,Fac_PlayGround,Fac_UPSGenerator,Fac_MultipurposeHall,Fac_OfficeComputer,Fac_ComputerLab,Fac_ScienceLab,Fac_Library,Fac_Transport,Fac_Hostel,BuildingOwnership,Enrolment_PN_Boys,Enrolment_PN_Girls,Enrolment_NU_Boys,Enrolment_NU_Girls,Enrolment_PR_Boys,Enrolment_PR_Girls,Enrolment_01_Boys,Enrolment_01_Girls,Enrolment_02_Boys,Enrolment_02_Girls,Enrolment_03_Boys,Enrolment_03_Girls,Enrolment_04_Boys,Enrolment_04_Girls,Enrolment_05_Boys,Enrolment_05_Girls,Enrolment_06_Boys,Enrolment_06_Girls,Enrolment_07_Boys,Enrolment_07_Girls,Enrolment_08_Boys,Enrolment_08_Girls,Enrolment_09S_Boys,Enrolment_09A_Boys,Enrolment_09S_Girls,Enrolment_09A_Girls,Enrolment_10S_Boys,Enrolment_10A_Boys,Enrolment_10S_Girls,Enrolment_10A_Girls,Enrolment_11S_Boys,Enrolment_11A_Boys,Enrolment_11S_Girls,Enrolment_11A_Girls,Enrolment_12S_Boys,Enrolment_12A_Boys,Enrolment_12S_Girls,Enrolment_12A_Girls,Enrolment_OLS_Boys,Enrolment_OLA_Boys,Enrolment_OLS_Girls,Enrolment_OLA_Girls,Enrolment_ALS_Boys,Enrolment_ALA_Boys,Enrolment_ALS_Girls,Enrolment_ALA_Girls,TeachingStaffMale,TeachingStaffFemale,NonTeachingStaffMale,NonTeachingStaffFemale,MultiGradeClassesClubbed,TextBooksUsed,TextBooksOtherName,Teachers_FAFSC_Male,Teachers_FAFSC_Female,Teachers_BABSC_Male,Teachers_BABSC_Female,Teachers_MAMSC_Male,Teachers_MAMSC_Female,EnumeratorID,EnumeratorName
LODHRAN,LODHRAN,QURESHI WALA,8-Nov-16,36690816,SEERANI PUBLIC HIGH SCHOOL,ALI PUR ASAR,BASTI PAKA MUNA LODHRAN,03464920449,8,,29.4635847,71.4357241,2000,Rural,High,Both,Registered,27/ AC II 275,Yes,BISE Multan,31,Punjab Education Foundation (PEF),Urdu,34,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Owned,,,20,12,58,39,59,33,60,33,84,62,78,41,29,37,50,32,59,31,58,31,89,,,,54,,,,,,,,,,,,,,,,,,,,23,12,2,1,,PCTB,,12,7,5,1,6,4,366126,Sharaf Hussain
LODHRAN,LODHRAN,GOGRAN,22-Oct-16,36690286,CAMBRIGDE PUBLIC HIGH SCHOOL ,GOGRAN,Main Road Gogran P/O Gogran,03458774059,4,,29.5132234,71.5062635,2001,Rural,High,Both,Registered,1302/211/AC II,Yes,BISE Multan,31,Punjab Education Foundation (PEF),Mixed,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Owned,,,46,22,33,33,64,41,71,51,91,56,69,44,50,40,48,37,36,36,62,38,32,,31,,35,,29,,,,,,,,,,,,,,,,,,28,13,4,,,PCTB,,8,5,10,3,10,5,366121,Javaid Iqbal
LODHRAN,LODHRAN,GOGRAN,22-Oct-16,36690177,AL-FAIZ ISLAMIC PUBLIC SCHOOL ,GOGRAN,Sheer Wala Road Gogran,03036454379,4,,29.5132234,71.5062635,2009,Rural,Middle,Both,UnderProcess,1078/GB II 268,No,,31,Punjab Education Foundation (PEF),Urdu,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Owned,,,39,39,59,43,71,45,97,42,65,49,60,50,38,44,35,21,24,33,21,16,,,,,,,,,,,,,,,,,,,,,,,,,14,18,6,2,,PCTB,,6,13,6,5,2,,366121,Javaid Iqbal
LODHRAN,LODHRAN,GOGRAN,21-Oct-16,36690083,PILOT HIGH SCHOOL GOGRAN,GOGRAN,Piolet Road Gogran,03007802716,6,,29.5106671,71.5285823,1989,Rural,High,Both,Registered,2168AC/II207,Yes,BISE Multan,31,Punjab Education Foundation (PEF),Mixed,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Owned,,,41,32,69,44,56,49,37,25,69,45,69,55,44,32,35,35,57,29,39,46,54,,34,,24,,31,,,,,,,,,,,,,,,,,,22,16,4,1,,PCTB,,7,7,10,5,5,4,366121,Javaid Iqbal
LODHRAN,LODHRAN,SALSADAR,9-Nov-16,36690839,NOSHANI PUBLIC  MODEL SCHOOL,SASADAR,BASTI BAHMENI WALA LODHRAN,03027806691,3,15,29.5379369,71.4968153,1996,Rural,Middle,Both,Registered,2737/59/AC,No,,31,Punjab Education Foundation (PEF),Mixed,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Owned,,,75,50,50,40,150,75,60,38,70,53,50,35,50,35,45,30,30,20,30,25,,,,,,,,,,,,,,,,,,,,,,,,,10,25,4,1,,PCTB,,5,12,2,10,3,3,366121,Javaid Iqbal
LODHRAN,LODHRAN,WAHI IMAM BAKHSH,21-Oct-16,36690095,BRIGHT FUTURE PUBLIC MIDDLE SCHOOL,KOT PIR SADAT,PUL SODHULWALI P/O GOGRAN,030177725558,3,,29.5052994,71.4977838,2003,Rural,Middle,Both,Registered,197/81-AC,No,,31,Punjab Education Foundation (PEF),Urdu,21,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Owned,,,49,21,34,36,48,22,52,38,37,32,41,16,37,19,41,20,17,11,12,5,,,,,,,,,,,,,,,,,,,,,,,,,20,,2,,,PCTB,,10,,6,,4,,366126,Sharaf Hussain
LODHRAN,LODHRAN,ADAM WAHAN,22-Oct-16,36690464,PUNJAB PUBLIC SCHOOL ,HUSSAIN ABAD,Basti Hussain Abad Chawak,03217224517,4,,29.4717493,71.6960088,2008,Rural,Middle,Both,Registered,1253/AC II,No,,31,Punjab Education Foundation (PEF),Urdu,23,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Owned,,,46,24,39,31,103,68,43,27,35,35,58,34,25,24,27,,26,30,14,12,,,,,,,,,,,,,,,,,,,,,,,,,10,17,2,,,PCTB,,2,9,6,3,2,5,366124,Gulzar Hussain
LODHRAN,LODHRAN,SUMRA,5-Nov-16,36690791,ISLAMIC PUBLIC MIDDLE SCHOOL ,CHAK  /12,BASTI ABDULLAH PUR LODHRAN,03464928658,4,,29.6018678,71.6114777,2007,Rural,Middle,Both,Registered,2945/16AC,No,,31,Punjab Education Foundation (PEF),Urdu,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Rented,,,38,32,25,10,87,45,33,34,32,17,17,11,37,22,34,17,28,9,24,1,,,,,,,,,,,,,,,,,,,,,,,,,7,13,4,,,PCTB,,3,9,2,3,2,1,366123,M Ubais Dogar
LODHRAN,LODHRAN,SUMRA,5-Nov-16,36690788,SHAHEEN PUBLIC HIGH SCHOOL,SUMRA,SCHEME ADDA PERMAT LODHRAN,03458798816,6,,29.5836692,71.6054481,1999,Rural,High,Both,Registered,6128-6BII/486,Yes,BISE Multan,31,Punjab Education Foundation (PEF),Mixed,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Owned,,,28,35,64,23,47,48,71,55,73,59,73,73,54,32,51,35,31,24,45,24,23,,23,,33,,24,,,,,,,,,,,,,,,,,,13,25,7,,,PCTB,,4,16,7,7,2,2,366123,M Ubais Dogar
LODHRAN,LODHRAN,SUMRA,5-Nov-16,36690784,AL FAISAL PUBLIC HIGH SCHOOL,SUMRA 25,ADDA PERMIT LODHRAN,0608534033,3,,29.6018678,71.6114777,1993,Rural,High,Both,Registered,2447-GB II 500,Yes,BISE Multan,31,Punjab Education Foundation (PEF),Urdu,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Owned,17,18,20,15,25,10,15,60,53,50,84,50,67,64,55,48,58,46,56,39,47,41,40,,29,,15,,24,,,,,,,,,,,,,,,,,,25,18,4,1,,PCTB,,3,7,18,8,4,3,366123,M Ubais Dogar
