DistrictName,TehsilName,UCName,VisitDate,RefCode,SchoolName,SchoolMauza,SchoolAddress,PhoneNumber,TotalAreaKanal,TotalAreaMarla,GPS_North,GPS_East,EstablishmentYear,SchoolLocation,SchoolLevel,SchoolGender,RegistrationStatus,RegistrationNo,BISEAffiliated,BISEName,SchoolCategory,School Category,MediumOfInstruction,NoOfClassRooms,Fac_DrinkingWater,Fac_BoundaryWall,Fac_Electricity,Fac_Toilet,Fac_StaffRoom,Fac_PlayGround,Fac_UPSGenerator,Fac_MultipurposeHall,Fac_OfficeComputer,Fac_ComputerLab,Fac_ScienceLab,Fac_Library,Fac_Transport,Fac_Hostel,BuildingOwnership,Enrolment_PN_Boys,Enrolment_PN_Girls,Enrolment_NU_Boys,Enrolment_NU_Girls,Enrolment_PR_Boys,Enrolment_PR_Girls,Enrolment_01_Boys,Enrolment_01_Girls,Enrolment_02_Boys,Enrolment_02_Girls,Enrolment_03_Boys,Enrolment_03_Girls,Enrolment_04_Boys,Enrolment_04_Girls,Enrolment_05_Boys,Enrolment_05_Girls,Enrolment_06_Boys,Enrolment_06_Girls,Enrolment_07_Boys,Enrolment_07_Girls,Enrolment_08_Boys,Enrolment_08_Girls,Enrolment_09S_Boys,Enrolment_09A_Boys,Enrolment_09S_Girls,Enrolment_09A_Girls,Enrolment_10S_Boys,Enrolment_10A_Boys,Enrolment_10S_Girls,Enrolment_10A_Girls,Enrolment_11S_Boys,Enrolment_11A_Boys,Enrolment_11S_Girls,Enrolment_11A_Girls,Enrolment_12S_Boys,Enrolment_12A_Boys,Enrolment_12S_Girls,Enrolment_12A_Girls,Enrolment_OLS_Boys,Enrolment_OLA_Boys,Enrolment_OLS_Girls,Enrolment_OLA_Girls,Enrolment_ALS_Boys,Enrolment_ALA_Boys,Enrolment_ALS_Girls,Enrolment_ALA_Girls,TeachingStaffMale,TeachingStaffFemale,NonTeachingStaffMale,NonTeachingStaffFemale,MultiGradeClassesClubbed,TextBooksUsed,TextBooksOtherName,Teachers_FAFSC_Male,Teachers_FAFSC_Female,Teachers_BABSC_Male,Teachers_BABSC_Female,Teachers_MAMSC_Male,Teachers_MAMSC_Female,EnumeratorID,EnumeratorName
KHANEWAL,JAHANIAN,MC JAHANIAN,25-Nov-16,36491439,THE ISLAMIC SCHOOL SYSTEM JAHANIAN,JAHANIAN,JALAL ABAD JAHANIAN,652211797,4,12,30.0305,71.8147655,2005,Urban,High,Both,Registered,537538,Yes,BISE Multan,21,Private Registered,English,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Rented,21,30,57,36,65,48,58,56,41,31,34,40,40,34,26,17,18,16,13,9,16,15,11,,4,,10,,7,,,,,,,,,,,,,,,,,,1,36,7,5,,Oxford,,,3,1,12,,21,364402,Muhammad Abid
KHANEWAL,JAHANIAN,MC JAHANIAN,26-Nov-16,36491446,DIVISIONAL PUBLIC SCHOOL,JAHANIAN,QUAID E AZAM ROAD JAHANIAN,652211784,19,18,30.0373096,71.8179034,2000,Urban,High,Both,Registered,422B 423G,Yes,BISE Multan,15,Divisional Public School (DPS),English,45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Owned,33,19,49,42,68,58,65,55,73,63,63,57,91,51,67,46,47,47,56,68,52,53,50,,40,,48,,53,,,,,,,,,,,,,,,,,,11,57,18,3,,PCTB,,,,,1,11,56,364402,Muhammad Abid
KHANEWAL,KABIRWALA,BAGGAR,12-Nov-16,36490891,MARINE SCHOOL AND COLLEGE,BAGAR SARGANA,ADA PUL BAGAR,3345206555,15,10,30.5713285,72.035592,2003,Rural,HigherSecondary,Both,Registered,654,Yes,BISE Multan,21,Private Registered,English,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Donated,,,18,18,17,17,21,16,16,12,20,18,18,15,20,12,15,15,24,15,17,17,37,,32,,47,,16,,,,23,,,,19,,,,,,,,,,5,27,28,1,,PCTB,,,,5,5,,22,364101,Liaqat Hussain
KHANEWAL,KABIRWALA,BAGGAR,12-Nov-16,36490887,SCHOOL OF THE MUSLIM GENERATION,N/A,ABDUL HAKIM,652442102,3,15,30.5623924,72.1370599,2006,Urban,High,Both,Registered,249,No,,21,Private Registered,English,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Rented,15,10,30,25,50,50,55,40,60,55,50,50,,30,,26,,25,,23,,14,,,,,,,,,,,,,,,,,,,,,,,,,,38,9,2,,Others,"PCTBB , OXFORD, AFAQ",,,,22,,16,364115,Muhammad Asad
KHANEWAL,KABIRWALA,CHAK HAIDER ABAD,10-Nov-16,36490647,SADIQ PUBLIC SCHOOL,HAIDERABAD,NAWAZ SHAHAER,3004541652,3,,30.42943833,71.703465,2009,Rural,Middle,Both,Registered,435,No,,31,Punjab Education Foundation (PEF),Urdu,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Owned,,,,,21,16,58,23,97,64,38,77,95,77,71,47,47,24,50,24,22,14,,,,,,,,,,,,,,,,,,,,,,,,,14,18,2,,,PCTB,,7,13,6,5,1,,364104,Ghulam Muhammad
KHANEWAL,KABIRWALA,CHAK NO.6/DH,8-Nov-16,36490304,AZHAR PUBLIC SCHOOL, 6-D,CHAK NO. 6 -D DARKHANA,3006888262,5,,30.66136353,72.17143041,2012,Rural,Middle,Both,Registered,621,No,,21,Private Registered,Urdu,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Owned,,,70,70,55,42,37,36,91,59,67,53,56,36,30,24,23,23,30,32,14,15,,,,,,,,,,,,,,,,,,,,,,,,,2,33,1,2,,PCTB,,,5,1,22,1,6,364106,Manzoor Hussain
KHANEWAL,KABIRWALA,MAHNI SIAL,8-Nov-16,36490211,HIGH AIMS SCHOOL,MAHNI SIAL,"P/O MANI SIAL, KHANEWAL",3017810152,6,4,30.2866677,71.792088,2008,Rural,Middle,Both,Registered,425,No,,31,Punjab Education Foundation (PEF),Mixed,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Owned,,,74,62,64,38,59,58,64,35,49,46,25,17,29,22,26,14,16,18,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,PCTB,,,8,,20,,2,364107,Tariq Shabbir
KHANEWAL,KABIRWALA,MOOLA PUR,14-Nov-16,36491117,MEHAR FATIMA CARE MODEL SCHOOL KABIRWALA,3 KASSI,3 KASSI,N/A,4,5,30.4010508,71.8617654,2014,Rural,Middle,Both,UnderProcess,,No,,22,Private Un-Registered,English,22,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Owned,30,24,34,25,36,29,65,42,31,18,22,19,20,19,11,8,8,15,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,3,,Oxford,,,,,,,25,364107,Tariq Shabbir
KHANEWAL,KABIRWALA,MC KABIRWALA,16-Nov-16,36491168,GARRISON SCHOOL SYSTEM,KABIR WALA,NEAR BADLA OFFICE KABIR WALA ,562410075,3,,30.4000085,71.8718174,2012,Urban,High,Both,Registered,653,Yes,BISE Multan,21,Private Registered,Mixed,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Rent Free,41,18,28,30,37,34,39,29,44,26,45,22,36,28,34,20,32,27,23,17,43,26,42,,45,,28,,28,,,,,,,,,,,,,,,,,,10,30,7,3,,Oxford,,,10,7,20,3,,364116,Haris Hafeez
KHANEWAL,KABIRWALA,MC KABIRWALA,17-Nov-16,36491240,KHALID-BIN-WALEED HIGH SCHOOL,CITY,CANAL ROAD KABIR WALA,3336229934,6,5,30.4008244,71.8699181,1993,Urban,High,Both,Registered,93,Yes,BISE Multan,21,Private Registered,English,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Owned,27,19,,,37,16,39,26,34,28,46,26,48,29,48,28,49,,68,,60,,147,,,,106,,,,,,,,,,,,,,,,,,,,27,4,10,,,PCTB,,4,4,12,,11,,364116,Haris Hafeez
