"PESSI_schools","Address","BM1","Address_BM1","BM2","Address_BM2","BM3","Address_BM3","BM4","Address_BM4","BM5","Address_BM5"
"JINNAH MODEL SCHOOL","J BLOCK BUREWALA","JINNAH MODEL BOYS SCHOOL","132 P BLOCK BUREWALA","JINNAH MODEL SCHOOL  AZEEM ABAD","441 E/B AZEEM ABAD BUREWALA","JINNAH MODEL GIRLS HIGH SCHOOL","21-P BLOCK BUREWALA DISTT VEHARI","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA","TIPS MODEL SCHOOL","CHAK NO. 122/EB BUREWALA"
"TABINDA MODEL HIGH SCHOOL","G BLOCK BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","PAINDA MODEL SCHOOL","HOUSE NO 94 BLOCK N","TABINDA MODEL PRIMARY SCHOOL","GULSHAN-E-REHMAN TEHSIL BUREWALA DISTRICT VEHARI","TABINDAH MODEL HIGHER SECONDARY SCHOOL","9-C BLOCK BUREWAL","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala"
"CRESENT MODEL HIGH SCHOOL","SATLIGHT TOWN BUREWALA","CRESCENT MODEL SCHOOL","153 SATELLITE TOWN BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala","ZAIN MODEL HIGH SCHOOL 52/KB","CHAK NO 52/KB","THE CRESCENT MODEL SCHOOL","MOR MURAD ALI"
"SIR SYED MODEL SCHOOL","MUJAHID COLONY BUREWALA","SIR SYED MODEL SCHOOL YOUSIF BLOCK","YOUSAF BLOCK STREET .3","AHMAD MODEL SCHOOL","CHAK NO. 50/KB","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA","TIPS MODEL SCHOOL","CHAK NO. 122/EB BUREWALA","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA"
"CITY PUBLIC HIGH SCHOOL","E BLOCK BUREWALA","CITY PUBLIC SCHOOL","MUSHARAF TOWN BUREWALA","TESS PUBLIC HIGH SCHOOL","94-I SATELLITE TOWN BUREWALA","GLOBAL PUBLIC HIGH SCHOOL","NEELI BAR CITY TEHSIL BUREWALA DISTRICT VEHARI","NEW MUSLIM PUBLIC HIGH SCHOOL","STREET NO. 1 SHAH FAIZ COLONY BUREWALA","AL HERMAIN PUBLIC HIGH SCHOOL","MUHAMMAD NAGAR"
"SIR SYED MODEL SCHOOL","YOUSIF BLOCK BUREWALA","SIR SYED MODEL SCHOOL YOUSIF BLOCK","YOUSAF BLOCK STREET .3","AHMAD MODEL SCHOOL","CHAK NO. 50/KB","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA","TIPS MODEL SCHOOL","CHAK NO. 122/EB BUREWALA","ZAIN MODEL SCHOOL","CHAK NO. 130/EB BUREWALA"
"PAKISTAN PUBLIC SCHOOL","GAGGU MANDI BUREWALA","PAKISTAN PUBLIC SCHOOL","X-BLOCK TEHSIL BUREWALA DISTRICT VEHARI","PAKISTAN PUBLIC SCHOOL","CHAK NO. 134/EB BUREWALA","PAKISTAN PUBLIC SCHOOL","X-BLOCK TEHSIL BUREWALA DISTRICT VEHARI","PAKISTAN PUBLIC SCHOOL","CHAK NO. 134/EB BUREWALA","MEZAN PUBLIC SCHOOL","CHAK NO. 405/EB BUREWALA DISTT: VEHARI"
"TABINDA MODEL HIGH SCHOOL","GULSHAN REHMAN BUREWALA","TABINDA MODEL HIGH SCHOOL","GULSHAN-E-REHMAN BUREWALA","PAINDA MODEL SCHOOL","HOUSE NO 94 BLOCK N","TABINDA MODEL PRIMARY SCHOOL","GULSHAN-E-REHMAN TEHSIL BUREWALA DISTRICT VEHARI","TABINDAH MODEL HIGHER SECONDARY SCHOOL","9-C BLOCK BUREWAL","AL FATEH  MODEL HIGH SCHOOL","Street no.8 Madina Colony Burewala"
"THE CITY SCHOOL","MULTAN ROAD BUREWALA","CITY PUBLIC SCHOOL","MUSHARAF TOWN BUREWALA","THE SMART SCHOOL","TC BLOCK BUREWALA","THE RIGHT SCHOOL","14- NEW MODEL TOWN","NFBE SCHOOL","CHAK NO. 431/EB BASTI ALLAH WALI BUREWALA DISTT VEHARI","THE GRAMMER SCHOOL","Y-20 BLOCK TEHSIL BUREWALA DISTRICT VEHARI"
"THE CITYZEN FOUNDATION SCHOOL.","BUREWALA","THE CITIZENS FOUNDATION","CHAK NO. 373/EB BUREWALA DISTRICT VEHARI","FOUNDATION MIDDLE SCHOOL 365 EB","CHOWK SHAH JUNAID 365/EB","NATIONAL EDUCATION FOUNDATION","SHAMSHAD MASJID AZIZ ABAD BUREWALA","NATIONAL EDUCATION FOUNDATION MADINA COLONY","STREET NO. 4 MADINA COLONY BUREWALA","THE CONFIDE SCHOOL OF EDUCATION","SHAH FAISAL COLONY BUREWALA"
